Class,Images,path
fog,4075.jpg,/Users/lulu/Downloads/KDD/fogsmog/4075.jpg
fog,4076.jpg,/Users/lulu/Downloads/KDD/fogsmog/4076.jpg
fog,4077.jpg,/Users/lulu/Downloads/KDD/fogsmog/4077.jpg
fog,4078.jpg,/Users/lulu/Downloads/KDD/fogsmog/4078.jpg
fog,4079.jpg,/Users/lulu/Downloads/KDD/fogsmog/4079.jpg
fog,4080.jpg,/Users/lulu/Downloads/KDD/fogsmog/4080.jpg
fog,4081.jpg,/Users/lulu/Downloads/KDD/fogsmog/4081.jpg
fog,4082.jpg,/Users/lulu/Downloads/KDD/fogsmog/4082.jpg
fog,4083.jpg,/Users/lulu/Downloads/KDD/fogsmog/4083.jpg
fog,4084.jpg,/Users/lulu/Downloads/KDD/fogsmog/4084.jpg
fog,4085.jpg,/Users/lulu/Downloads/KDD/fogsmog/4085.jpg
fog,4086.jpg,/Users/lulu/Downloads/KDD/fogsmog/4086.jpg
fog,4087.jpg,/Users/lulu/Downloads/KDD/fogsmog/4087.jpg
fog,4088.jpg,/Users/lulu/Downloads/KDD/fogsmog/4088.jpg
fog,4089.jpg,/Users/lulu/Downloads/KDD/fogsmog/4089.jpg
fog,4090.jpg,/Users/lulu/Downloads/KDD/fogsmog/4090.jpg
fog,4091.jpg,/Users/lulu/Downloads/KDD/fogsmog/4091.jpg
fog,4092.jpg,/Users/lulu/Downloads/KDD/fogsmog/4092.jpg
fog,4093.jpg,/Users/lulu/Downloads/KDD/fogsmog/4093.jpg
fog,4094.jpg,/Users/lulu/Downloads/KDD/fogsmog/4094.jpg
fog,4095.jpg,/Users/lulu/Downloads/KDD/fogsmog/4095.jpg
fog,4096.jpg,/Users/lulu/Downloads/KDD/fogsmog/4096.jpg
fog,4097.jpg,/Users/lulu/Downloads/KDD/fogsmog/4097.jpg
fog,4098.jpg,/Users/lulu/Downloads/KDD/fogsmog/4098.jpg
fog,4099.jpg,/Users/lulu/Downloads/KDD/fogsmog/4099.jpg
fog,4100.jpg,/Users/lulu/Downloads/KDD/fogsmog/4100.jpg
fog,4101.jpg,/Users/lulu/Downloads/KDD/fogsmog/4101.jpg
fog,4102.jpg,/Users/lulu/Downloads/KDD/fogsmog/4102.jpg
fog,4103.jpg,/Users/lulu/Downloads/KDD/fogsmog/4103.jpg
fog,4104.jpg,/Users/lulu/Downloads/KDD/fogsmog/4104.jpg
fog,4105.jpg,/Users/lulu/Downloads/KDD/fogsmog/4105.jpg
fog,4106.jpg,/Users/lulu/Downloads/KDD/fogsmog/4106.jpg
fog,4107.jpg,/Users/lulu/Downloads/KDD/fogsmog/4107.jpg
fog,4108.jpg,/Users/lulu/Downloads/KDD/fogsmog/4108.jpg
fog,4109.jpg,/Users/lulu/Downloads/KDD/fogsmog/4109.jpg
fog,4110.jpg,/Users/lulu/Downloads/KDD/fogsmog/4110.jpg
fog,4111.jpg,/Users/lulu/Downloads/KDD/fogsmog/4111.jpg
fog,4112.jpg,/Users/lulu/Downloads/KDD/fogsmog/4112.jpg
fog,4113.jpg,/Users/lulu/Downloads/KDD/fogsmog/4113.jpg
fog,4114.jpg,/Users/lulu/Downloads/KDD/fogsmog/4114.jpg
fog,4115.jpg,/Users/lulu/Downloads/KDD/fogsmog/4115.jpg
fog,4116.jpg,/Users/lulu/Downloads/KDD/fogsmog/4116.jpg
fog,4117.jpg,/Users/lulu/Downloads/KDD/fogsmog/4117.jpg
fog,4118.jpg,/Users/lulu/Downloads/KDD/fogsmog/4118.jpg
fog,4119.jpg,/Users/lulu/Downloads/KDD/fogsmog/4119.jpg
fog,4120.jpg,/Users/lulu/Downloads/KDD/fogsmog/4120.jpg
fog,4121.jpg,/Users/lulu/Downloads/KDD/fogsmog/4121.jpg
fog,4122.jpg,/Users/lulu/Downloads/KDD/fogsmog/4122.jpg
fog,4123.jpg,/Users/lulu/Downloads/KDD/fogsmog/4123.jpg
fog,4124.jpg,/Users/lulu/Downloads/KDD/fogsmog/4124.jpg
fog,4125.jpg,/Users/lulu/Downloads/KDD/fogsmog/4125.jpg
fog,4126.jpg,/Users/lulu/Downloads/KDD/fogsmog/4126.jpg
fog,4127.jpg,/Users/lulu/Downloads/KDD/fogsmog/4127.jpg
fog,4128.jpg,/Users/lulu/Downloads/KDD/fogsmog/4128.jpg
fog,4129.jpg,/Users/lulu/Downloads/KDD/fogsmog/4129.jpg
