filename,img_array,label,size,shape,img_dimensions,mode
r5727.jpg,"[[[  0   2   7]
  [  3  13  25]
  [  0   2  29]
  ...
  [  0   4  25]
  [  0  12  29]
  [  0   2  16]]

 [[  8  18  30]
  [ 24  37  56]
  [ 17  31  66]
  ...
  [ 24  45  74]
  [ 27  43  68]
  [  3  18  39]]

 [[  0   5  32]
  [ 16  30  65]
  [ 11  29  79]
  ...
  [ 26  49  93]
  [ 23  42  82]
  [  0   3  39]]

 ...

 [[  4   4   0]
  [156 153 144]
  [106  99  91]
  ...
  [142 139 150]
  [148 145 156]
  [  1   0   9]]

 [[  1   1   0]
  [237 234 225]
  [189 182 176]
  ...
  [125 122 131]
  [120 117 126]
  [ 16  13  22]]

 [[  1   1   0]
  [ 14  11   2]
  [ 11   4   0]
  ...
  [ 12   9  18]
  [ 22  19  28]
  [  1   0   7]]]",1,360000,"(300, 400, 3)",3,RGB
r5080.jpg,"[[[152 155 188]
  [149 153 182]
  [183 187 212]
  ...
  [120 129 162]
  [141 154 189]
  [159 175 209]]

 [[174 177 208]
  [164 168 197]
  [191 195 220]
  ...
  [101 110 143]
  [128 142 177]
  [152 168 204]]

 [[178 182 211]
  [168 172 199]
  [182 187 209]
  ...
  [123 133 168]
  [148 162 199]
  [165 183 221]]

 ...

 [[219 221 233]
  [215 217 229]
  [206 208 220]
  ...
  [171 174 191]
  [149 152 167]
  [144 146 161]]

 [[186 188 200]
  [184 186 198]
  [176 178 190]
  ...
  [203 206 225]
  [191 194 211]
  [187 190 207]]

 [[180 182 194]
  [184 186 198]
  [178 180 192]
  ...
  [201 206 226]
  [195 200 219]
  [192 195 214]]]",1,360000,"(300, 400, 3)",3,RGB
r4974.jpg,"[[[199 165 166]
  [224 203 200]
  [223 225 212]
  ...
  [ 85 127 175]
  [ 87 129 177]
  [ 89 131 179]]

 [[209 180 182]
  [246 228 224]
  [237 239 228]
  ...
  [ 84 126 174]
  [ 86 128 176]
  [ 87 129 177]]

 [[226 212 211]
  [252 245 239]
  [240 241 233]
  ...
  [ 84 126 174]
  [ 84 126 174]
  [ 85 127 175]]

 ...

 [[171 175 178]
  [168 172 175]
  [165 169 172]
  ...
  [117  93  57]
  [115  91  57]
  [109  85  49]]

 [[146 151 155]
  [157 162 166]
  [161 166 170]
  ...
  [114  91  57]
  [110  87  55]
  [109  86  52]]

 [[143 148 152]
  [164 169 173]
  [176 181 185]
  ...
  [116  93  61]
  [111  88  56]
  [114  91  59]]]",1,23887872,"(2304, 3456, 3)",3,RGB
r5346.jpg,"[[[  5  57 130]
  [  5  57 130]
  [  5  57 130]
  ...
  [ 15  72 139]
  [ 15  72 139]
  [ 15  72 139]]

 [[  6  58 131]
  [  6  58 131]
  [  6  58 131]
  ...
  [ 15  72 139]
  [ 15  72 139]
  [ 15  72 139]]

 [[  6  58 131]
  [  6  58 131]
  [  6  58 131]
  ...
  [ 15  72 139]
  [ 15  72 139]
  [ 15  72 139]]

 ...

 [[ 97  85  73]
  [100  88  76]
  [128 115 107]
  ...
  [127 125 136]
  [126 124 135]
  [109 107 118]]

 [[102  90  78]
  [123 111  99]
  [148 135 127]
  ...
  [146 144 155]
  [148 146 157]
  [105 103 114]]

 [[100  88  76]
  [104  92  80]
  [113 100  92]
  ...
  [180 178 189]
  [175 173 184]
  [168 166 177]]]",1,151242,"(182, 277, 3)",3,RGB
r5893.jpg,"[[[ 45  73 120]
  [ 43  71 118]
  [ 42  70 117]
  ...
  [ 45  73 120]
  [ 45  73 120]
  [ 45  73 120]]

 [[ 43  71 118]
  [ 41  69 116]
  [ 40  68 115]
  ...
  [ 44  72 119]
  [ 45  73 120]
  [ 45  73 120]]

 [[ 42  70 117]
  [ 40  68 115]
  [ 38  66 113]
  ...
  [ 44  72 119]
  [ 45  73 120]
  [ 45  73 120]]

 ...

 [[182 187 191]
  [176 181 184]
  [193 197 200]
  ...
  [202 213 209]
  [191 203 199]
  [178 190 186]]

 [[192 197 201]
  [173 178 182]
  [172 177 180]
  ...
  [196 205 204]
  [197 207 206]
  [203 213 212]]

 [[180 185 189]
  [159 164 168]
  [157 162 166]
  ...
  [195 198 203]
  [195 200 204]
  [213 218 222]]]",1,292320,"(240, 406, 3)",3,RGB
r5397.jpg,"[[[190 195 188]
  [205 207 204]
  [234 235 239]
  ...
  [241 248 254]
  [241 248 254]
  [241 248 254]]

 [[247 254 246]
  [181 185 184]
  [220 221 226]
  ...
  [241 248 254]
  [241 248 254]
  [241 248 254]]

 [[246 252 248]
  [237 241 242]
  [184 187 194]
  ...
  [241 248 254]
  [241 248 254]
  [241 248 254]]

 ...

 [[ 81 100  80]
  [ 87 104  85]
  [ 87 104  86]
  ...
  [ 79 111  88]
  [ 77 109  85]
  [ 77 110  81]]

 [[ 78  97  75]
  [ 80  99  77]
  [ 82 101  81]
  ...
  [ 75 107  84]
  [ 77 109  85]
  [ 78 111  84]]

 [[ 74  92  68]
  [ 74  94  69]
  [ 75  97  74]
  ...
  [ 74 107  86]
  [ 74 106  82]
  [ 72 105  78]]]",1,302400,"(420, 240, 3)",3,RGB
r5842.jpg,"[[[197 200 193]
  [191 194 187]
  [195 197 194]
  ...
  [198 202 203]
  [185 187 186]
  [123 125 124]]

 [[192 195 188]
  [191 193 188]
  [197 199 196]
  ...
  [142 146 147]
  [146 148 147]
  [112 114 113]]

 [[194 196 191]
  [178 180 175]
  [182 184 181]
  ...
  [110 114 115]
  [132 134 133]
  [125 127 126]]

 ...

 [[113 113 113]
  [151 151 151]
  [145 145 145]
  ...
  [102 102 100]
  [ 77  78  73]
  [ 77  78  73]]

 [[103 103 103]
  [141 141 141]
  [142 142 142]
  ...
  [122 124 121]
  [ 73  75  70]
  [ 79  81  76]]

 [[114 114 114]
  [130 130 130]
  [128 128 128]
  ...
  [136 138 135]
  [ 68  70  65]
  [ 82  84  79]]]",1,149388,"(236, 211, 3)",3,RGB
r5430.jpg,"[[[  0 131 203]
  [  0 131 203]
  [  0 131 203]
  ...
  [  0 141 223]
  [  0 141 223]
  [  0 141 223]]

 [[  0 130 202]
  [  0 130 202]
  [  0 130 202]
  ...
  [  0 142 224]
  [  0 142 224]
  [  0 142 224]]

 [[  0 130 205]
  [  0 130 205]
  [  0 131 203]
  ...
  [  0 142 224]
  [  0 142 224]
  [  0 142 224]]

 ...

 [[104 132 156]
  [103 131 155]
  [103 131 155]
  ...
  [135 166 194]
  [139 170 198]
  [133 164 192]]

 [[ 95 123 147]
  [ 94 122 146]
  [ 94 122 146]
  ...
  [131 165 193]
  [136 170 198]
  [132 166 194]]

 [[102 130 154]
  [101 129 153]
  [100 128 152]
  ...
  [131 165 193]
  [137 171 199]
  [134 168 196]]]",1,617232,"(334, 616, 3)",3,RGB
r5051.jpg,"[[[224 242 255]
  [224 242 255]
  [224 242 255]
  ...
  [148 166 186]
  [175 193 213]
  [192 213 232]]

 [[224 242 255]
  [224 242 255]
  [224 242 255]
  ...
  [165 183 203]
  [189 207 227]
  [192 215 233]]

 [[221 239 253]
  [221 239 253]
  [221 239 253]
  ...
  [170 191 210]
  [180 201 220]
  [174 200 217]]

 ...

 [[111 125 151]
  [125 139 165]
  [137 153 178]
  ...
  [144 162 184]
  [147 165 187]
  [137 153 176]]

 [[ 88  97 126]
  [101 110 139]
  [172 183 211]
  ...
  [149 164 187]
  [155 170 193]
  [156 172 195]]

 [[102 109 138]
  [119 126 155]
  [118 127 156]
  ...
  [152 164 188]
  [153 165 189]
  [155 170 193]]]",1,704484,"(396, 593, 3)",3,RGB
r5568.jpg,"[[[142  98 125]
  [130  87 115]
  [167 131 159]
  ...
  [ 44  49 130]
  [ 48  45 126]
  [ 55  47 130]]

 [[105  61  88]
  [ 83  43  69]
  [ 94  58  84]
  ...
  [ 44  51 129]
  [ 47  46 126]
  [ 52  47 129]]

 [[101  59  83]
  [ 90  50  74]
  [107  72  96]
  ...
  [ 46  55 132]
  [ 47  48 128]
  [ 50  47 126]]

 ...

 [[181 150 119]
  [174 143 112]
  [204 173 142]
  ...
  [167 146 125]
  [162 144 124]
  [155 137 117]]

 [[142 109  78]
  [174 143 112]
  [185 154 123]
  ...
  [205 184 167]
  [224 205 188]
  [123 104  87]]

 [[168 135 104]
  [180 147 116]
  [142 111  80]
  ...
  [204 183 166]
  [195 173 159]
  [107  88  73]]]",1,181800,"(202, 300, 3)",3,RGB
r5109.jpg,"[[[ 61  51  60]
  [ 69  59  67]
  [ 65  52  61]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[ 64  54  63]
  [ 65  55  63]
  [ 62  49  56]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[ 71  61  69]
  [ 70  60  68]
  [ 69  56  63]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[ 25  25  17]
  [ 16  16   8]
  [ 16  13   6]
  ...
  [114 136 150]
  [114 136 150]
  [116 138 152]]

 [[ 27  24  15]
  [ 25  22  13]
  [ 30  26  17]
  ...
  [105 127 140]
  [102 124 137]
  [101 123 136]]

 [[ 22  19  10]
  [ 23  20  11]
  [ 33  29  20]
  ...
  [130 152 165]
  [123 145 158]
  [118 140 153]]]",1,459576,"(312, 491, 3)",3,RGB
r5514.jpg,"[[[ 68 106 168]
  [ 68 106 168]
  [ 68 106 168]
  ...
  [  0  18  90]
  [  0  18  90]
  [  0  18  90]]

 [[ 68 106 168]
  [ 68 106 168]
  [ 68 106 168]
  ...
  [  0  18  90]
  [  0  18  90]
  [  0  18  90]]

 [[ 68 106 168]
  [ 68 106 168]
  [ 68 106 168]
  ...
  [  0  18  90]
  [  0  18  90]
  [  0  18  90]]

 ...

 [[215 230 227]
  [214 228 228]
  [208 222 223]
  ...
  [103 136 169]
  [ 95 128 161]
  [ 97 130 163]]

 [[190 204 204]
  [187 201 201]
  [180 194 195]
  ...
  [125 157 182]
  [120 152 177]
  [128 160 185]]

 [[187 203 203]
  [178 194 194]
  [169 180 182]
  ...
  [129 158 188]
  [132 161 191]
  [127 156 186]]]",1,2076300,"(769, 900, 3)",3,RGB
